,SMILES,%F,logK(%F),MolW(Da),NumHAcceptors,NumHDonors,LogP,Lipinski_rule,Category
1150,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,15.0,-0.753327667,488.01700000000034,9,3,3.313540000000001,1,0
1151,Cc1nc(Nc2ncc(C(O)=Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,15.0,-0.7533276666586115,488.01700000000034,9,3,3.6975400000000014,1,0
1152,Cc1nc2c([nH]1)-c1ccccc1N(C(=O)c1ccc(NC(=O)c3ccccc3-c3ccccc3)cc1)CC2,42.0,-0.1401787031650368,498.5860000000002,3,2,6.507320000000005,0,0
1153,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,66.0,0.288065018,410.4930000000003,6,0,3.5904200000000026,1,0
1154,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2O,28.0,-0.4101744650890492,426.49200000000025,7,1,3.081320000000002,1,0
1155,Cc1nc2sccn2c(=O)c1CCN1CCC(=C(c2ccc(F)cc2)c2ccc(F)cc2)CC1,75.0,0.4771212547196624,477.58000000000015,5,0,5.483020000000005,0,0
1156,Cc1ncc(C[n+]2csc(CCO)c2C)c(=N)[nH]1,5.0,-1.278753600952829,265.362,4,3,0.4381099999999997,1,0
1157,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,4.5,-1.326790858,265.362,5,2,0.60774,1,0
1158,Cc1ncc([N+](=O)[O-])n1CC(C)O,99.0,1.99563519459755,185.183,5,1,0.4805199999999999,1,1
1159,Cc1ncc([N+](=O)[O-])n1CC(O)CCl,97.0,1.5096504795465824,219.628,5,1,0.6994199999999999,1,1
1160,Cc1ncc([N+](=O)[O-])n1CCO,99.0,1.99563519459755,171.15599999999998,5,1,0.0920199999999999,1,1
1161,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,44.0,-0.104735351,325.77400000000006,3,0,4.324220000000002,1,0
1162,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,62.0,0.212608093,293.37000000000006,4,0,3.1285200000000017,1,0
1163,Cc1nccn1CCC(C(=N)O)(c1ccccc1)c1ccccc1,58.0,0.1401787031650368,319.4080000000001,3,2,4.103190000000002,1,0
1164,Cc1ncsc1CCCl,25.0,-0.477121255,161.65699999999998,2,0,2.23282,1,0
1165,Cc1nnc(C(=O)NC(C)(C)C2=NC(=C(O)NCc3ccc(F)cc3)C(=O)C(=O)N2C)o1,31.8,-0.331357255,444.4230000000002,9,3,0.9820199999999996,1,0
1166,Cc1nnc(C(=O)NC(C)(C)c2nc(C(O)=NCc3ccc(F)cc3)c(O)c(=O)n2C)o1,32.0,-0.3273589343863303,444.4230000000002,9,3,1.4863199999999994,1,0
1167,Cc1nnc(C(C)C)n1C1CC2CCC(C1)N2CCC(NC(=O)C1CCC(F)(F)CC1)c1ccccc1,23.0,-0.524762889,513.6770000000002,5,1,5.950920000000006,0,0
1168,Cc1nnc(SCC2=C(C(=O)O)N3C(=O)C(N=C(O)Cn4cnnn4)C3SC2)s1,75.0,0.4771212547196624,454.5190000000002,12,2,0.2042199999999998,0,0
1169,Cc1nnc(SCC2=C(C(=O)O)N3C(=O)C(NC(=O)Cn4cnnn4)C3SC2)s1,0.0,-2.0,454.5190000000002,12,2,-0.6360799999999995,0,0
1170,Cc1nnc(SCC2=C(C(=O)OCc3oc(=O)oc3C)N3C(=O)C(N=C(O)C(OC(=O)C(C)N)c4ccccc4)C3SC2)s1,40.0,-0.1760912590556812,661.7400000000002,15,2,2.662640000000001,0,0
1171,Cc1nnc(SCC2=C(C(=O)OCc3oc(=O)oc3C)N3C(=O)C(NC(=O)C(OC(=O)C(C)N)c4ccccc4)C3SC2)s1,40.0,-0.176091259,661.7400000000002,15,2,1.8223400000000007,0,0
1172,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,88.0,0.865301426,308.77200000000005,4,0,3.5801200000000017,1,1
1173,Cc1nnc2n1-c1sc(Br)cc1C(c1ccccc1Cl)=NC2,70.0,0.367976785,393.69700000000006,5,0,4.404120000000002,1,0
1174,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,96.0,1.380211242,267.31,5,2,1.67444,1,1
1175,Cc1nsc(NS(=O)(=O)c2ccc(N)cc2)c1C,93.0,1.1233849085396783,283.37800000000004,5,2,2.1429400000000003,1,1
1176,Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,67.5,0.317420412,470.3340000000002,6,2,3.2021200000000007,1,0
1177,Cc1onc(-c2c(F)cccc2Cl)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,60.0,0.176091259,453.8790000000002,6,2,2.687819999999999,1,0
1178,Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1,83.0,0.6886291709978,314.36600000000004,4,1,2.9644200000000005,1,1
1179,Cc1onc(-c2ccccc2)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,33.0,-0.307560863,401.4440000000002,6,2,1.89532,1,0
1180,Cc1onc(-c2ccccc2)c1C(O)=NC1C(=O)N2C1SC(C)(C)C2C(=O)O,33.0,-0.307560862822939,401.4440000000002,6,2,2.4701200000000005,1,0
1181,Cc1onc(-c2ccccc2Cl)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,40.0,-0.176091259,435.8890000000002,6,2,2.5487200000000003,1,0
1182,Cc1onc(-c2ccccc2Cl)c1C(O)=NC1C(=O)N2C1SC(C)(C)C2C(=O)O,40.0,-0.1760912590556812,435.8890000000002,6,2,3.123520000000001,1,0
1183,Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1,80.0,0.602059991,270.21,3,1,3.254120000000001,1,1
1184,Cc1scc2c1N(C(=O)CN1CCN(C)CC1)c1ccccc1N=C2O,54.0,0.0696359281413944,370.478,5,1,2.9183200000000005,1,0
